Serial No,Name,Description,Stars,Forks,Last Commit,Repository URL
1,hhvm,A virtual machine for executing programs written in Hack.,17883,3172,2023-12-22T22:44:35Z,https://github.com/facebook/hhvm
2,ccache,ccache – a fast compiler cache,2067,472,2023-12-22T13:29:49Z,https://github.com/ccache/ccache
3,znc,Official repository for the ZNC IRC bouncer,1967,390,2023-11-19T09:07:29Z,https://github.com/znc/znc
4,winsparkle,"App update framework for Windows, inspired by Sparkle for macOS",1209,266,2023-10-02T16:16:13Z,https://github.com/vslavik/winsparkle
5,rocket,Rocket,348,40,2023-10-30T19:16:03Z,https://github.com/rocket/rocket
6,xkblayout-state,A small command-line program to get/set the current keyboard layout.,245,26,2021-11-06T13:09:01Z,https://github.com/nonpop/xkblayout-state
7,cpp-netlib,"The C++ Network Library Project -- header-only, cross-platform, standards compliant networking library.",236,599,2020-04-02T06:56:21Z,https://github.com/glynos/cpp-netlib
8,EWProxyFramebuffer,Kernel extension (kext) for OS X (Snow Leopard) to simulate a graphic card,146,42,2014-01-04T19:36:45Z,https://github.com/mkernel/EWProxyFramebuffer
9,SuperCollider-Android,An Android port of SuperCollider,122,22,2014-12-16T13:17:41Z,https://github.com/glastonbridge/SuperCollider-Android
10,console,Public Console repo,118,281,2022-02-28T09:59:03Z,https://github.com/bozho/console
11,acm,My accepted submissions to ACM ICPC training and related sites,114,45,2011-06-20T22:46:38Z,https://github.com/ivankra/acm
12,tpie,Templated Portable I/O Environment,109,24,2023-11-28T03:35:16Z,https://github.com/thomasmoelhave/tpie
13,libmaia,XML-RPC lib for Qt,65,27,2023-06-23T09:05:04Z,https://github.com/wiedi/libmaia
14,throttled,Bandwidth limiter and QoS solution.,60,8,2017-07-23T00:14:55Z,https://github.com/zquestz/throttled
15,MidiOSC,A bridge between MIDI and OpenSoundControl,57,9,2017-04-27T13:23:54Z,https://github.com/jstutters/MidiOSC
16,OpenTTD,OpenTTD for the iPhone & iPod Touch,34,12,2010-04-16T07:51:30Z,https://github.com/zodttd/OpenTTD
17,libfbjs,JavaScript parser and AST manipulation framework,32,16,2014-05-13T23:52:57Z,https://github.com/facebookarchive/libfbjs
18,ofxTuioWrapper,sketch of ofxTuioWrapper with new ofTouchEvent,23,25,2019-11-12T11:03:17Z,https://github.com/arturoc/ofxTuioWrapper
19,QuadEncoder,Arduino library for quadratic rotary encoder,22,6,2021-02-10T18:40:26Z,https://github.com/medecau/QuadEncoder
20,tanglet,Single player variant of Boggle.,21,10,2023-10-12T12:11:42Z,https://github.com/gottcode/tanglet
