url,commit_count,language,stars,size
https://github.com/mfem/mfem,21207,C++,1640,209827
https://github.com/LLNL/hiop,935,C++,208,40049
https://github.com/LLNL/sundials,6845,C,489,247228
https://github.com/LLNL/SNLS,207,C++,11,487
https://github.com/LLNL/serac,7744,C++,176,20777
https://github.com/hypre-space/hypre,12256,C,654,223949
https://github.com/LLNL/spheral,10140,C++,59,60035
https://github.com/LLNL/mhysa,1031,C,18,143981
https://github.com/LLNL/gecko,17,C++,14,149
https://github.com/LLNL/smoothG,835,C++,13,3390
https://github.com/LLNL/parelag,73,C++,14,3651
https://github.com/llnl/elemental,4677,C++,64,60854
https://github.com/Marcello-Sega/namd,5247,C,1,14303
https://github.com/CGAL/cgal,109627,C++,4744,689908
https://github.com/blitzpp/blitz,1909,C++,403,20517
https://github.com/ricosjp/monolish,3968,C++,193,20815
https://github.com/siconos/siconos,9716,C,159,249062
https://github.com/dengwirda/jigsaw,246,C++,140,3962
https://github.com/xiaoyeli/superlu,332,C,269,7200
https://github.com/Libbum/Wafer-cxx,133,C++,2,1394
https://github.com/optimad/bitpit,6481,C++,116,227800
https://github.com/pism/pism,10499,C++,99,120010
https://github.com/Alpine-DAV/ascent,1022,C++,188,165380
https://github.com/ginkgo-project/ginkgo,7831,C++,389,158864
https://github.com/krober10nd/SeismicMesh,731,Python,124,31982
https://github.com/usnistgov/fipy,5609,Python,490,544259
https://github.com/cp2k/cp2k,21760,Fortran,808,263436
https://github.com/wannier-developers/wannier90,3225,Roff,231,995566
https://github.com/Amber-MD/cpptraj,9463,C++,126,133418
https://github.com/ParmEd/ParmEd,3417,Python,376,170844
https://github.com/abinit/abinit,20888,Fortran,201,495773
https://github.com/lammps/lammps,39681,C++,2136,735805
https://github.com/visit-dav/visit,19017,C,413,379664
https://github.com/OpenFOAM/OpenFOAM-dev,7764,C++,1470,165072
https://github.com/usnistgov/fipy,5609,Python,490,544259
https://github.com/PyWavelets/pywt,1981,Python,1989,16579
https://github.com/spectralDNS/shenfun,1425,Python,193,101815
https://github.com/hpddm/hpddm,495,C++,135,8755
https://github.com/DedalusProject/dedalus,1944,Python,473,62401
https://github.com/precice/precice,5131,C++,717,40806
https://github.com/chebfun/chebfun,10815,MATLAB,590,24651
https://github.com/optimad/bitpit,6481,C++,116,227800
https://github.com/casadi/casadi,16232,C++,1634,140381
https://github.com/wmayner/pyemd,383,C++,477,432
https://github.com/blitzpp/blitz,1909,C++,403,20517
https://github.com/NFFT/nfft,2163,C,173,35211
https://github.com/FFTW/fftw3,3151,C,2669,11657
https://github.com/abinit/abinit,20888,Fortran,201,495773
https://github.com/jrwrigh/ANSYS_CFX,93,,6,308
https://github.com/opencollab/arpack-ng,647,Fortran,277,2648
https://github.com/autotools-mirror/autoconf,6982,Roff,40,16471
https://github.com/autotools-mirror/automake,8586,Shell,48,28441
https://github.com/bminor/bash,207,C,620,294588
https://github.com/bminor/binutils-gdb,119357,C,526,786732
https://github.com/akimd/bison,7979,C,316,18803
https://github.com/libarchive/bzip2,168,C,29,912
https://github.com/qingfengxia/Cfd,155,Python,183,3891
https://github.com/dftbplus/dftbplus,5007,Fortran,319,28616
https://github.com/java-diff-utils/java-diff-utils,485,Java,1240,2997
https://github.com/emacs-mirror/emacs,174348,Emacs Lisp,4341,1510647
https://github.com/hpddm/hpddm,495,C++,135,8755
https://github.com/flame/blis,2365,C,2214,49329
https://github.com/ginkgo-project/ginkgo,7831,C++,389,158864
https://github.com/libMesh/libmesh,24997,C,637,179154
https://github.com/NGSolve/netgen,4587,C++,274,12458
https://github.com/firedrakeproject/firedrake,8518,Python,489,128070
https://github.com/idaholab/moose,51119,C++,1674,564391
https://github.com/mfem/mfem,21207,C++,1640,209827
https://github.com/sfepy/sfepy,9441,Python,720,32513
https://github.com/FreeFem/FreeFem-sources,7586,C++,734,410626
https://github.com/CEED/libCEED,5048,C,189,19687
https://github.com/CGAL/cgal,109627,C++,4744,689908
https://github.com/inducer/meshpy,424,C++,498,1521
https://github.com/nschloe/pygalmesh,646,C++,569,4389
https://github.com/nwchemgit/nwchem,30995,Fortran,488,337804
https://github.com/Nek5000/Nek5000,1971,Fortran,369,21343
https://github.com/pachterlab/kallisto,1393,C,637,9844
https://github.com/NERSC/shifter,1897,C,348,3751
https://github.com/gromacs/gromacs,22630,C++,676,405168
https://github.com/lammps/lammps,39681,C++,2136,735805
https://github.com/kokkos/kokkos,13225,C++,1812,33352
https://github.com/GlobalArrays/ga,5485,C,96,24375
https://github.com/xianyi/OpenBLAS,8559,C,6196,56585
https://github.com/QEF/q-e_schrodinger,27509,Fortran,19,533755
https://github.com/precice/precice,5131,C++,717,40806
https://github.com/ddemidov/amgcl,1640,C++,722,8245
https://github.com/TileDB-Inc/TileDB,4902,C++,1817,102912
https://github.com/trilinos/Trilinos,102134,C++,1188,833215
https://github.com/mlpack/mlpack,30196,C++,4934,271668
https://github.com/arrayfire/arrayfire,6153,C++,4483,20123
https://github.com/AlchemistSimulator/Alchemist,10434,Java,38,75788
https://github.com/openmm/openmm,7065,C++,1442,123912
https://github.com/CalebBell/thermo,2975,Python,602,42563
https://github.com/GOMC-WSU/GOMC,2898,C++,72,67984
